target,sequence
0,0 -2.5399999999999636 -0.22000000000025466 9.539999999999964 5.799999999999727 6.289999999999964 3.0 -4.9900000000002365 -5.480000000000018 -9.579999999999927 -12.010000000000218 -3.769999999999982 -24.440000000000055 -27.690000000000055 -15.710000000000036 -19.860000000000127 -9.63000000000011 -22.740000000000236 -23.579999999999927 -25.480000000000018 -27.200000000000273 -31.670000000000073 -33.91000000000031 -29.600000000000364 -34.20000000000027
0,0 5.970000000000255 3.430000000000291 5.75 15.510000000000218 11.769999999999982 12.260000000000218 8.970000000000255 0.9800000000000182 0.49000000000023647 -3.6099999999996726 -6.039999999999964 2.200000000000273 -18.4699999999998 -21.7199999999998 -9.739999999999782 -13.889999999999873 -3.6599999999998545 -16.769999999999982 -17.609999999999673 -19.509999999999764
0,0 -3.2899999999999636 -11.2800000000002 -11.769999999999982 -15.86999999999989 -18.300000000000182 -10.059999999999945 -30.730000000000018 -33.98000000000002 -22.0 -26.15000000000009 -15.920000000000073 -29.0300000000002 -29.86999999999989 -31.769999999999982 -33.49000000000024 -37.960000000000036 -40.20000000000027 -35.89000000000033 -40.49000000000024 -46.40000000000009 -41.80000000000018 -39.059999999999945 -53.39000000000033 -56.55000000000018 -62.01000000000022
0,0 -2.5399999999999636 -0.22000000000025466 9.539999999999964 5.799999999999727 6.289999999999964 3.0 -4.9900000000002365 -5.480000000000018 -9.579999999999927 -12.010000000000218 -3.769999999999982 -24.440000000000055 -27.690000000000055 -15.710000000000036 -19.860000000000127 -9.63000000000011 -22.740000000000236 -23.579999999999927 -25.480000000000018 -27.200000000000273 -31.670000000000073 -33.91000000000031 -29.600000000000364 -34.20000000000027 -40.11000000000013 -35.51000000000022 -32.76999999999998
0,0 5.970000000000255 3.430000000000291 5.75 15.510000000000218 11.769999999999982 12.260000000000218 8.970000000000255 0.9800000000000182 0.49000000000023647 -3.6099999999996726 -6.039999999999964 2.200000000000273 -18.4699999999998 -21.7199999999998 -9.739999999999782 -13.889999999999873 -3.6599999999998545 -16.769999999999982 -17.609999999999673 -19.509999999999764 -21.230000000000018 -25.699999999999818 -27.940000000000055 -23.63000000000011 -28.230000000000018 -34.13999999999987 -29.539999999999964 -26.799999999999727
0,0 -2.5399999999999636 -0.22000000000025466 9.539999999999964 5.799999999999727 6.289999999999964 3.0 -4.9900000000002365 -5.480000000000018 -9.579999999999927 -12.010000000000218 -3.769999999999982 -24.440000000000055 -27.690000000000055 -15.710000000000036 -19.860000000000127 -9.63000000000011 -22.740000000000236 -23.579999999999927 -25.480000000000018 -27.200000000000273
0,0 -21.019999999999982 -6.769999999999982 -0.7999999999997272 -3.3399999999996908 -1.0199999999999818 8.740000000000236 5.0 5.4900000000002365 2.200000000000273 -5.789999999999964 -6.279999999999745 -10.379999999999654 -12.809999999999945 -4.569999999999709 -25.23999999999978 -28.48999999999978 -16.509999999999764 -20.659999999999854 -10.429999999999836 -23.539999999999964 -24.379999999999654 -26.279999999999745 -28.0 -32.4699999999998 -34.710000000000036 -30.40000000000009 -35.0 -40.909999999999854 -36.309999999999945
0,0 -2.5399999999999636 -0.22000000000025466 9.539999999999964 5.799999999999727 6.289999999999964 3.0 -4.9900000000002365 -5.480000000000018 -9.579999999999927 -12.010000000000218 -3.769999999999982 -24.440000000000055 -27.690000000000055 -15.710000000000036 -19.860000000000127 -9.63000000000011 -22.740000000000236 -23.579999999999927 -25.480000000000018 -27.200000000000273 -31.670000000000073 -33.91000000000031 -29.600000000000364 -34.20000000000027 -40.11000000000013 -35.51000000000022 -32.76999999999998 -47.100000000000364
0,0 5.970000000000255 3.430000000000291 5.75 15.510000000000218 11.769999999999982 12.260000000000218 8.970000000000255 0.9800000000000182 0.49000000000023647 -3.6099999999996726 -6.039999999999964 2.200000000000273 -18.4699999999998 -21.7199999999998 -9.739999999999782 -13.889999999999873 -3.6599999999998545 -16.769999999999982 -17.609999999999673 -19.509999999999764 -21.230000000000018 -25.699999999999818 -27.940000000000055 -23.63000000000011 -28.230000000000018 -34.13999999999987 -29.539999999999964 -26.799999999999727 -41.13000000000011
0,0 -2.5399999999999636 -0.22000000000025466 9.539999999999964 5.799999999999727 6.289999999999964 3.0 -4.9900000000002365 -5.480000000000018 -9.579999999999927 -12.010000000000218 -3.769999999999982 -24.440000000000055 -27.690000000000055 -15.710000000000036 -19.860000000000127 -9.63000000000011 -22.740000000000236 -23.579999999999927 -25.480000000000018 -27.200000000000273 -31.670000000000073 -33.91000000000031 -29.600000000000364 -34.20000000000027 -40.11000000000013 -35.51000000000022 -32.76999999999998 -47.100000000000364 -50.26000000000022
